firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_Q1,quarterly_revenue_2023_Q2,quarterly_revenue_2023_Q3,quarterly_revenue_2023_Q4,quarterly_revenue_2024_Q1,quarterly_revenue_2024_Q2,quarterly_revenue_2024_Q3,quarterly_revenue_2024_Q4,quarterly_revenue_2025_Q1,quarterly_revenue_2025_Q2,quarterly_revenue_2025_Q3,quarterly_revenue_2025_Q4,tech_tools_list,tools_frequency_of_use,n_tools,tls_raw,tls_scaled
Getty Images Holdings Inc (GETY),Consumer Tech,1995,1650,118000000.0,30000000.0,3.0,100,3432000,218344660,227635922,236927184,246218447,222278000,229140000,240480962,265101038,224100000,234882000,240000000,282318000,"visual content marketplace, AI image generation/licensing partnerships",Medium,2,68.76456876456876,68764.56876456876
"Vimeo Inc (Private, fka NASDAQ:VMEO)",Consumer Tech,2004,500,92000000.0,10000000.0,8.0,100,1040000,103390000,105500000,105500000,107610000,101675000,103750000,103750000,105825000,102709200,104265400,105760000,104265400,"AI-powered transcription/captions/translation, cloud video platform",High,2,176.92307692307693,176923.07692307694
"Atlantica Sustainable Infrastructure (Private, fka NASDAQ:AY)",Clean Tech,1995,1378,28000000.0,300000000.0,3.6,0,2866240,190802141,194045777,197344555,200699413,204111303,207581195,211110075,214698946,218348829,222060759,225835792,229675000,"SCADA renewable asset monitoring, grid management systems",Low,2,19.537791671318523,19537.791671318522
Cirrus Logic Inc (CRUS),Tech,1984,1668,570000000.0,20000000.0,22.0,2,3469440,308550942,320892980,333728699,347077847,360960961,375399400,390415376,406031991,422273270,439164201,456730769,475000000,"audio codec/smart amplifier IC design, fabless semiconductor design tools",High,2,328.58328721638077,328583.28721638076
Silicon Laboratories Inc (SLAB),Tech,1996,1930,338000000.0,15000000.0,-5.0,5,4014400,127480258,132579468,137882647,143397953,149133871,155099226,161303195,167755322,174465535,181444157,188701923,196250000,"IoT wireless connectivity SoCs, Bluetooth/Zigbee/Matter chips, fabless semiconductor design",High,3,252.59067357512953,252590.67357512953
Lattice Semiconductor Corp (LSCC),Tech,1983,1174,159000000.0,10000000.0,0.5,3,2441920,130750000,130750000,130750000,130750000,130750000,130750000,130750000,130750000,130750000,130750000,130750000,130750000,"low-power FPGA design tools, AI-enabled programmable logic devices",Medium,2,130.22539640938277,130225.39640938277
MACOM Technology Solutions Holdings (MTSI),Tech,1950,2000,244000000.0,60000000.0,-3.0,2,4160000,142649540,155617680,168585820,181553960,160507160,175098720,189690280,204281840,212796760,232141920,251487080,270832240,"RF/microwave/photonic semiconductor design, GaN technology, 800G/1.6T optical components",High,3,175.96153846153845,175961.53846153844
NXP Semiconductors NV (NXPI),Tech,2006,32169,2208000000.0,400000000.0,15.0,3,66911520,3067250000,3067250000,3067250000,3067250000,3067250000,3067250000,3067250000,3067250000,3067250000,3067250000,3067250000,3067250000,"automotive microcontrollers/radar, secure connectivity ICs, AI-powered edge systems",High,3,98.99640600004304,98996.40600004303
Diodes Incorporated (DIOD),Tech,1959,7989,148000000.0,100000000.0,10.0,3,16617120,267295872,275314749,283574191,292081417,300843859,309869175,319165250,328740208,338602414,348760486,359223301,370000000,"discrete/analog/mixed-signal semiconductor fabrication, MOSFET/SiC design",Medium,2,17.812954350693744,17812.954350693744
Workiva Inc (WK),Enterprise Tech,2008,2880,177000000.0,15000000.0,2.0,100,5990400,168624533,172840146,177161150,181590179,186129933,190783182,195552761,200441580,205452620,210588935,215853659,221250000,"Connected AI Platform, SEC filing/XBRL tagging, GRC and sustainability reporting tools",High,3,88.64182692307692,88641.82692307692
"Model N Inc (Private, fka NYSE:MODN)",Enterprise Tech,1999,497,43000000.0,5000000.0,-3.0,100,1033760,48401481,48885496,49374351,49868094,50366775,50870443,51379147,51892939,52411868,52935987,53465347,54000000,"cloud revenue management platform, pricing/contract/rebate management software",Medium,2,83.19145643089306,83191.45643089306
Vishay Intertechnology Inc (VSH),Tech,1962,22600,184000000.0,200000000.0,4.0,3,47008000,767500000,767500000,767500000,767500000,767500000,767500000,767500000,767500000,767500000,767500000,767500000,767500000,"MOSFET/diode/passive component manufacturing, foil resistor technology",Low,2,7.828454731109598,7828.4547311095985
STMicroelectronics NV (STM),Tech,1987,48000,2124000000.0,1800000000.0,1.4,3,99840000,4495400000,4322500000,4149600000,4322500000,3450200000,3317500000,3184800000,3317500000,2520000000,2923200000,3190000000,3166800000,"microcontrollers, MEMS sensors, silicon carbide/GaN power semiconductors, AI chip design",High,4,85.09615384615384,85096.15384615384
Infineon Technologies AG (IFX),Tech,1999,57000,2385000000.0,2000000000.0,5.0,2,118560000,4964211775,4864927539,4767628989,4672276409,4578830881,4487254263,4397509178,4309558994,4223367814,4138900458,4056122449,3975000000,"power semiconductors, automotive microcontrollers, IoT security chips, SiC/GaN power devices",High,4,80.46558704453442,80465.58704453442
Renesas Electronics Corp (6723.T),Tech,2010,21629,1764000000.0,300000000.0,-1.0,2,44988320,2462756382,2438128818,2413747530,2389610055,2365713954,2342056815,2318636247,2295449884,2272495385,2249770432,2227272727,2205000000,"automotive microcontrollers, R-Car SoC, embedded AI edge processing, Altium PCB design tools",High,4,156.8407088773264,156840.7088773264
Allegro MicroSystems Inc (ALGM),Tech,1990,4250,134000000.0,80000000.0,-1.0,3,8840000,222500000,222500000,222500000,222500000,222500000,222500000,222500000,222500000,222500000,222500000,222500000,222500000,"Hall-effect magnetic sensors, current sensor ICs, motor driver/power management chips",Medium,3,45.47511312217195,45475.11312217195
Power Integrations Inc (POWI),Tech,1988,865,102000000.0,15000000.0,20.0,2,1799200,104466430,108911810,115579880,115579880,98458655,102648385,108932980,108932980,105500000,108780000,115440000,115440000,"PowiGaN gallium-nitride power ICs, InnoSwitch, high-voltage gate drivers for EV/data centers",Medium,3,170.07558915073366,170075.58915073366
CDW Corporation (CDW),Tech,1984,15100,673000000.0,80000000.0,4.8,40,31408000,5023894437,5074133381,5124874715,5176123462,5227884697,5280163544,5332965179,5386294831,5440157779,5494559357,5549504950,5605000000,"IT hardware/software distribution and reselling platforms, cloud/managed services orchestration",Low,2,42.85532348446256,42855.32348446256
Insight Enterprises Inc (NSIT),Tech,1988,14505,247000000.0,40000000.0,2.8,35,30170400,2222793478,2317380435,2411967391,2506554348,2044970000,2131990000,2219010000,2306030000,1938045000,2020515000,2102985000,2185455000,"IT hardware/software distribution, cloud/data center transformation, AI/data analytics consulting",Medium,3,24.56049638055843,24560.49638055843
Avnet Inc (AVT),Tech,1921,14869,440000000.0,100000000.0,1.0,25,30927520,6899589060,6634220250,6368851440,6634220250,6176853540,5939282250,5701710960,5939282250,5720000000,5500000000,5280000000,5500000000,"electronic component distribution platforms, supply chain digital tools, AI investment in demand forecasting",Low,3,42.6804347713622,42680.4347713622
Arrow Electronics Inc (ARW),Tech,1935,22230,617000000.0,80000000.0,1.9,25,46238400,8111950000,8277500000,8443050000,8277500000,6841135000,6980750000,7120365000,6980750000,7558960500,7713225000,7867489500,7713225000,"electronic components/enterprise computing distribution, edge AI SoC supply chain platforms",Low,2,26.687774663483165,26687.774663483164
TD SYNNEX Corporation (SNX),Tech,2021,30000,900000000.0,150000000.0,1.2,30,62400000,12063945586,12305224498,12551328988,12802355568,13058402679,13319570733,13585962147,13857681390,14134835018,14417531719,14705882353,15000000000,"IT product/AI infrastructure distribution platforms, supply chain digital tools",Low,2,28.846153846153847,28846.153846153848
Jabil Inc (JBL),Tech,1966,140000,981000000.0,900000000.0,4.5,5,291200000,6574850345,6706347351,6840474299,6977283784,7116829460,7259166049,7404349370,7552436358,7703485085,7857554787,8014705882,8175000000,"AI/cloud data center server manufacturing, additive manufacturing, automated SMT assembly",Medium,3,10.106456043956044,10106.456043956045
Celestica Inc (CLS),Tech,1996,26000,242000000.0,150000000.0,6.0,2,54080000,1769128167,1929958000,2090787833,2251617667,2208900000,2391900000,2499500000,2549490000,2648600000,2893400000,3194000000,3353700000,"AI/cloud data center manufacturing, advanced electronics manufacturing services (EMS)",Medium,2,8.949704142011834,8949.704142011835
Flex Ltd (FLEX),Tech,1969,150000,516000000.0,500000000.0,3.2,3,312000000,7800000000,7500000000,7200000000,7500000000,6864000000,6600000000,6336000000,6600000000,6208000000,6596000000,6596000000,6400000000,"Cloud and Power Infrastructure (CPI) segment for AI/data centers, advanced manufacturing automation",Medium,2,3.3076923076923075,3307.6923076923076
Pagaya Technologies Ltd (PGY),FinTech,2016,380,103000000.0,10000000.0,-5.0,100,790400,170019080,185475360,200931640,216387920,230207040,249390960,249283000,275669000,282196460,318221540,339887000,347784041,"AI credit underwriting models, network of lending partners, asset-backed securitization platform",High,3,390.9412955465587,390941.2955465587
Green Dot Corp (GDOT),FinTech,1999,1546,201000000.0,30000000.0,3.0,90,3215680,345000000,360000000,382500000,412500000,395600000,412800000,438600000,473000000,462300000,482400000,512550000,552750000,"GoBank mobile banking platform, BaaS (banking-as-a-service) infrastructure, prepaid card processing",High,3,187.51865857299234,187518.65857299234
Telos Corp (TLS),Cybersecurity,1968,450,18000000.0,5000000.0,-15.0,10,936000,29250000,29250000,29250000,29250000,29250000,29250000,29250000,29250000,29250000,29250000,29250000,29250000,"Xacta cybersecurity compliance platform, identity/cloud security solutions, TSA PreCheck enrollment",Medium,3,57.69230769230769,57692.307692307695
"Darktrace Holdings Ltd (Private, fka LSE:DARK)",Cybersecurity,2013,2300,260000000.0,20000000.0,5.0,95,4784000,260000000,260000000,260000000,260000000,260000000,260000000,260000000,260000000,260000000,260000000,260000000,260000000,"ActiveAI Security Platform, self-learning AI/ML threat detection, autonomous response (Antigena)",High,3,163.04347826086956,163043.47826086957
Clearway Energy Inc (CWEN),Clean Tech,2012,1000,45000000.0,200000000.0,2.0,0,2080000,299587982,305579742,311691337,317925163,324283667,330769340,337384727,344132421,351015070,358035371,365196078,372500000,"renewable asset SCADA monitoring, battery storage management systems",Low,2,43.26923076923077,43269.230769230766
Coherent Corp (COHR),Tech,1971,30000,858000000.0,600000000.0,8.0,2,62400000,1191995106,1227754960,1264587608,1302525237,1341600994,1381849024,1423304494,1466003629,1509983738,1555283250,1601941748,1650000000,"photonics/laser manufacturing, optical transceivers for AI datacenters, compound semiconductor fabrication",High,3,41.25,41250.0
MKS Inc (fka MKS Instruments) (MKSI),Tech,1961,10300,393000000.0,100000000.0,10.0,3,21424000,833060000,887390000,923610000,977940000,851000000,906500000,943500000,999000000,903900000,962850000,1002150000,1030000000,"semiconductor process control instruments, Baratron pressure sensors, photonics/laser subsystems",Medium,3,55.03174010455564,55031.74010455564
Entegris Inc (ENTG),Tech,1966,7700,329000000.0,300000000.0,12.0,3,16016000,643410431,656278640,669404213,682792297,696448143,710377106,724584648,739076341,753857868,768935025,784313725,800000000,"CMP slurries/pads, chemical vapor deposition materials, contamination control/filtration for semiconductor fabs",Medium,3,61.62587412587413,61625.87412587413
Ciena Corporation (CIEN),Tech,1992,9080,768000000.0,80000000.0,6.0,5,18886400,965115647,984417960,1004106319,1024188445,1044672214,1065565659,1086876972,1108614511,1130786801,1153402537,1176470588,1200000000,"WaveLogic optical coherent technology, Blue Planet automation software, AI-driven network analytics",High,3,121.99254490003389,121992.54490003388
NCR Voyix Corp (VYX),Tech,1884,13500,261000000.0,60000000.0,0.5,40,28080000,705000000,735000000,765000000,795000000,696960000,722000000,740520000,740520000,603260000,666000000,661640000,681100000,"Voyix Commerce Platform, self-checkout/POS terminals, digital banking solutions",Medium,3,27.884615384615383,27884.615384615383
CommScope Holding Company Inc (COMM),Tech,1976,20000,336000000.0,120000000.0,-2.0,10,41600000,1051450000,1051450000,1051450000,1051450000,1051450000,1051450000,1051450000,1051450000,1051450000,1051450000,1051450000,1051450000,"RUCKUS Wi-Fi 7 AI-driven networking, fiber-optic infrastructure, broadband/cable network equipment",Medium,3,24.23076923076923,24230.76923076923
Diebold Nixdorf Inc (DBD),Tech,1859,23000,170000000.0,60000000.0,2.0,10,47840000,782882686,816196843,849511000,882825157,782882686,816196843,849511000,882825157,841100000,843791520,869360960,843791520,"ATM/self-service transaction systems, DN Vynamic Retail Platform, AI predictive diagnostics (Allconnect)",Medium,3,10.660535117056856,10660.535117056856
Unisys Corporation (UIS),Tech,1986,15000,156000000.0,30000000.0,-3.0,15,31200000,492450000,502500000,502500000,512550000,490000000,500000000,500000000,510000000,440160000,467670000,467670000,574500000,"Digital Workplace Solutions, Cloud/Applications/Infrastructure Solutions, AI-enabled service desk",Medium,3,15.0,15000.0
Itron Inc (ITRI),Clean Tech,1977,5788,237000000.0,40000000.0,9.5,5,12039040,521671920,532540085,554276415,565144580,585800880,598005065,622413435,634617620,568126560,579962530,603634470,615470440,"smart electricity/gas/water meters, advanced metering infrastructure (AMI), UtilityIQ analytics platform",Medium,3,59.05786507894317,59057.86507894317
Badger Meter Inc (BMI),Clean Tech,1905,2477,72000000.0,30000000.0,14.0,5,5152160,145668524,151495265,157555075,163857278,170411570,177228032,184317154,191689840,199357433,207331731,215625000,224250000,"BEACON Advanced Metering Analytics, IoT cellular/fixed-network water meters, smart water management",Medium,3,41.924163845843296,41924.16384584329
Roper Technologies Inc (ROP),Enterprise Tech,1981,19400,948000000.0,60000000.0,20.0,75,40352000,1451783000,1513561000,1575339000,1637117000,1654212000,1724604000,1794996000,1865388000,1857087500,1936112500,2015137500,2094162500,"vertical software portfolio (Deltek, Vertafore, DAT Solutions), AI-first operating models, niche market SaaS",High,5,117.46629659000793,117466.29659000793
Manhattan Associates Inc (MANH),Enterprise Tech,1990,4390,173000000.0,10000000.0,20.0,85,9131200,218250375,227537625,236824875,246112125,244952720,255376240,265799760,276223280,254127120,264941040,275754960,286568880,"Manhattan Active supply chain/omnichannel cloud platform, warehouse management, AI-driven inventory optimization",High,3,56.83809356930086,56838.09356930086
PTC Inc (PTC),Enterprise Tech,1985,7642,548000000.0,20000000.0,15.0,70,15895360,494714090,509555513,524842178,540587444,556805067,573509219,590714496,608435930,626689008,645489679,664854369,684800000,"Creo 3D CAD with AI guidance, Windchill PLM, ThingWorx IIoT platform, ServiceMax field service",High,4,137.9018782839772,137901.8782839772
Tyler Technologies Inc (TYL),Enterprise Tech,1966,7271,230000000.0,30000000.0,3.0,90,15123680,459143614,478681640,498219666,517757692,502900000,524300000,545700000,567100000,534688000,586432000,603680000,575200000,"cloud-based public sector SaaS (appraisal/tax, courts, ERP, public safety), AI-driven citizen services",High,5,76.03969404271976,76039.69404271976
"Aspen Technology Inc (Private, fka NASDAQ:AZPN)",Enterprise Tech,1981,4067,240000000.0,10000000.0,15.0,60,8459360,194874279,202669251,210776021,219207062,227975344,237094358,246578132,256441257,266698908,277366864,288461538,300000000,"aspenONE Engineering/Manufacturing/Asset Performance Management platforms, AI-driven process optimization",High,2,56.741881182500805,56741.8811825008
Veeva Systems Inc (VEEV),Enterprise Tech,2007,7928,549000000.0,30000000.0,22.0,100,16490240,496122812,511006496,526336691,542126792,558390595,575142313,592396583,610168480,628473535,647327741,666747573,686750000,"Vault Platform (clinical/regulatory/quality/commercial), CRM Suite, AI Falcon agentic platform",High,3,99.87726073119615,99877.26073119615
nCino Inc (NCNO),FinTech,2012,1600,134000000.0,10000000.0,1.0,100,3328000,110169245,113474322,116878552,120384908,123996455,127716349,131547840,135494275,139559103,143745876,148058252,152500000,"nCino Platform (cloud banking OS), AI-driven loan origination, deposit account opening, CRA/analytics",High,4,161.05769230769232,161057.6923076923
Cognizant Technology Solutions (CTSH),Tech,1994,335000,788000000.0,300000000.0,10.0,20,696800000,3557924787,3664662531,3774602407,3887840479,4004475693,4124609964,4248348263,4375798711,4507072672,4642284852,4781553398,4925000000,"AI-first technology services, digital transformation, cloud migration, AI Hub",High,4,4.52353616532721,4523.536165327209
Infosys Ltd (INFY),Tech,1981,315000,772000000.0,400000000.0,17.5,15,655200000,3485682660,3590253139,3697960734,3808899556,3923166542,4040861538,4162087385,4286950006,4415558506,4548025262,4684466019,4825000000,"Cobalt cloud platform, AI-First strategy, Topaz AI suite, digital transformation services",High,4,4.713064713064713,4713.064713064713
DXC Technology Company (DXC),Tech,2017,100000,516000000.0,200000000.0,2.0,25,208000000,2329808617,2399702876,2471693962,2545844781,2622220124,2700886728,2781913330,2865370730,2951331851,3039871807,3131067961,3225000000,"cloud and security services, analytics/AI platforms, enterprise IT modernization",Medium,3,7.4423076923076925,7442.307692307692
Globant SA (GLOB),Tech,2003,27000,214000000.0,30000000.0,8.0,20,56160000,484022255,498542923,513499211,528904187,544771313,561114452,577947886,595286322,613144912,631539259,650485437,670000000,"AI/digital transformation consulting, StarMeUp culture platform, GlobantX talent platform",High,3,11.431623931623932,11431.623931623932
Zuora Inc (ZUO),Enterprise Tech,2007,2000,102000000.0,8000000.0,3.0,100,4160000,83981473,86500918,89095945,91768823,94521888,97357545,100278271,103286619,106385218,109576774,112864078,116250000,"subscription management platform, RevPro revenue recognition, Zephr paywall platform",High,3,73.5576923076923,73557.69230769231
NetScout Systems Inc (NTCT),Cybersecurity,1984,2300,157000000.0,15000000.0,5.0,20,4784000,157126628,161840426,166695639,171696508,176847404,182152826,187617411,193245933,199043311,205014610,211165049,217500000,"nGeniusONE network management, Arbor DDoS/threat intelligence, AI-driven Adaptive Service Intelligence (ASI)",Medium,3,98.45317725752508,98453.17725752508
