firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_Q1,quarterly_revenue_2023_Q2,quarterly_revenue_2023_Q3,quarterly_revenue_2023_Q4,quarterly_revenue_2024_Q1,quarterly_revenue_2024_Q2,quarterly_revenue_2024_Q3,quarterly_revenue_2024_Q4,quarterly_revenue_2025_Q1,quarterly_revenue_2025_Q2,quarterly_revenue_2025_Q3,quarterly_revenue_2025_Q4,tech_tools_list,tools_frequency_of_use
Yext Inc (YEXT),Enterprise Tech,2006,1150,$84M,$5M,-6.60%,100%,"2,392,000","94,266,667","96,190,476","96,190,476","98,114,286","98,980,000","101,000,000","101,000,000","103,020,000","103,145,000","105,250,000","105,250,000","107,355,000","AI Search/Answers Platform, Knowledge Graph, generative AI search engine",High
8x8 Inc (EGHT),Enterprise Tech,1987,1942,$99M,$15M,-2.00%,100%,"4,039,360","159,097,460","160,688,434","162,295,319","163,918,272","165,557,455","167,213,029","168,885,160","170,574,011","172,279,751","174,002,549","175,742,574","177,500,000","8x8 Work UCaaS, 8x8 Contact Center, Communications APIs (CPaaS)",High
"Dayforce Inc (fka Ceridian, Private - Thoma Bravo)",Enterprise Tech,1992,9000,$315M,$100M,4.00%,100%,"18,720,000","359,652,174","374,956,522","390,260,870","405,565,217","413,600,000","431,200,000","448,800,000","466,400,000","481,800,000","489,701,520","489,701,520","504,540,960","Dayforce HCM platform, AI-driven labor analytics, Dayforce Wallet",High
Bandwidth Inc (BAND),Enterprise Tech,1999,1100,$98M,$15M,-0.90%,100%,"2,288,000","152,323,232","155,496,633","161,843,434","165,016,835","164,509,091","167,936,364","174,790,909","178,218,182","180,960,000","184,730,000","174,240,000","196,040,000","Maestro AI voice platform, AIBridge, CPaaS voice/messaging APIs",High
PagerDuty Inc (PD),Enterprise Tech,2009,1155,$117M,$5M,-2.00%,100%,"2,402,400","86,207,050","89,875,435","93,543,821","97,212,206","101,724,319","106,053,014","110,381,708","114,710,403","114,962,000","119,854,000","124,746,000","129,638,000","PagerDuty Operations Cloud, AIOps, generative AI assistant, incident management",High
Elastic NV (ESTC),Enterprise Tech,2012,4019,$408M,$20M,4.00%,85%,"8,359,520","323,911,532","332,009,321","340,309,554","348,817,293","357,537,725","366,476,168","375,638,072","385,029,024","394,654,750","404,521,118","414,634,146","425,000,000","Elastic Stack (Elasticsearch, Kibana, Beats, Logstash), AI search/observability/security",High
Intel Corporation (INTC),Tech,1968,85100,$9513M,$15000M,-0.50%,5%,"177,008,000","13,358,713,317","13,345,354,604","13,332,009,249","13,318,677,240","13,305,358,563","13,292,053,204","13,278,761,151","13,265,482,390","13,252,216,907","13,238,964,690","13,225,725,726","13,212,500,000","x86 microprocessor fabs, Intel Foundry Services, AI accelerators (Gaudi)",High
Cognex Corp (CGNX),Tech,1981,2745,$149M,$15M,12.00%,5%,"5,709,600","204,785,714","209,142,857","222,214,286","235,285,714","210,797,000","239,292,000","234,742,000","230,169,000","216,036,000","249,093,000","276,892,000","251,979,000","machine vision systems, AI-powered OneVision cloud platform, barcode readers",Medium
Trimble Inc (TRMB),Tech,1978,11500,$463M,$60M,10.00%,40%,"23,920,000","930,681,500","930,681,500","949,675,000","987,662,000","863,968,000","917,966,000","917,966,000","983,400,000","852,416,000","905,692,000","901,200,000","905,692,000","AI-driven Connect & Scale platform, GNSS positioning, AECO/Field Systems software",High
Montrose Environmental Group (now Onterris) (MEG/ONT),Clean Tech,2012,3500,$49M,$25M,1.00%,5%,"7,280,000","139,280,000","151,941,818","158,272,727","183,596,364","157,728,000","170,872,000","178,700,000","189,100,000","197,952,000","214,448,000","224,900,000","182,700,000","environmental monitoring/lab testing systems, emissions measurement technology",Low
Getty Images Holdings Inc (GETY),Consumer Tech,1995,1650,$118M,$30M,3.00%,100%,"3,432,000","218,344,660","227,635,922","236,927,184","246,218,447","222,278,000","229,140,000","240,480,962","265,101,038","224,100,000","234,882,000","240,000,000","282,318,000","visual content marketplace, AI image generation/licensing partnerships",Medium
"Vimeo Inc (Private, fka NASDAQ:VMEO)",Consumer Tech,2004,500,$92M,$10M,8.00%,100%,"1,040,000","103,390,000","105,500,000","105,500,000","107,610,000","101,675,000","103,750,000","103,750,000","105,825,000","102,709,200","104,265,400","105,760,000","104,265,400","AI-powered transcription/captions/translation, cloud video platform",High
"Atlantica Sustainable Infrastructure (Private, fka NASDAQ:AY)",Clean Tech,1995,1378,$28M,$300M,3.60%,0%,"2,866,240","190,802,141","194,045,777","197,344,555","200,699,413","204,111,303","207,581,195","211,110,075","214,698,946","218,348,829","222,060,759","225,835,792","229,675,000","SCADA renewable asset monitoring, grid management systems",Low
Cirrus Logic Inc (CRUS),Tech,1984,1668,$570M,$20M,22.00%,2%,"3,469,440","308,550,942","320,892,980","333,728,699","347,077,847","360,960,961","375,399,400","390,415,376","406,031,991","422,273,270","439,164,201","456,730,769","475,000,000","audio codec/smart amplifier IC design, fabless semiconductor design tools",High
Silicon Laboratories Inc (SLAB),Tech,1996,1930,$338M,$15M,-5.00%,5%,"4,014,400","127,480,258","132,579,468","137,882,647","143,397,953","149,133,871","155,099,226","161,303,195","167,755,322","174,465,535","181,444,157","188,701,923","196,250,000","IoT wireless connectivity SoCs, Bluetooth/Zigbee/Matter chips, fabless semiconductor design",High
Lattice Semiconductor Corp (LSCC),Tech,1983,1174,$159M,$10M,0.50%,3%,"2,441,920","130,750,000","130,750,000","130,750,000","130,750,000","130,750,000","130,750,000","130,750,000","130,750,000","130,750,000","130,750,000","130,750,000","130,750,000","low-power FPGA design tools, AI-enabled programmable logic devices",Medium
MACOM Technology Solutions Holdings (MTSI),Tech,1950,2000,$244M,$60M,-3.00%,2%,"4,160,000","142,649,540","155,617,680","168,585,820","181,553,960","160,507,160","175,098,720","189,690,280","204,281,840","212,796,760","232,141,920","251,487,080","270,832,240","RF/microwave/photonic semiconductor design, GaN technology, 800G/1.6T optical components",High
NXP Semiconductors NV (NXPI),Tech,2006,32169,$2208M,$400M,15.00%,3%,"66,911,520","3,067,250,000","3,067,250,000","3,067,250,000","3,067,250,000","3,067,250,000","3,067,250,000","3,067,250,000","3,067,250,000","3,067,250,000","3,067,250,000","3,067,250,000","3,067,250,000","automotive microcontrollers/radar, secure connectivity ICs, AI-powered edge systems",High
Diodes Incorporated (DIOD),Tech,1959,7989,$148M,$100M,10.00%,3%,"16,617,120","267,295,872","275,314,749","283,574,191","292,081,417","300,843,859","309,869,175","319,165,250","328,740,208","338,602,414","348,760,486","359,223,301","370,000,000","discrete/analog/mixed-signal semiconductor fabrication, MOSFET/SiC design",Medium
Workiva Inc (WK),Enterprise Tech,2008,2880,$177M,$15M,2.00%,100%,"5,990,400","168,624,533","172,840,146","177,161,150","181,590,179","186,129,933","190,783,182","195,552,761","200,441,580","205,452,620","210,588,935","215,853,659","221,250,000","Connected AI Platform, SEC filing/XBRL tagging, GRC and sustainability reporting tools",High
"Model N Inc (Private, fka NYSE:MODN)",Enterprise Tech,1999,497,$43M,$5M,-3.00%,100%,"1,033,760","48,401,481","48,885,496","49,374,351","49,868,094","50,366,775","50,870,443","51,379,147","51,892,939","52,411,868","52,935,987","53,465,347","54,000,000","cloud revenue management platform, pricing/contract/rebate management software",Medium
Vishay Intertechnology Inc (VSH),Tech,1962,22600,$184M,$200M,4.00%,3%,"47,008,000","767,500,000","767,500,000","767,500,000","767,500,000","767,500,000","767,500,000","767,500,000","767,500,000","767,500,000","767,500,000","767,500,000","767,500,000","MOSFET/diode/passive component manufacturing, foil resistor technology",Low
STMicroelectronics NV (STM),Tech,1987,48000,$2124M,$1800M,1.40%,3%,"99,840,000","4,495,400,000","4,322,500,000","4,149,600,000","4,322,500,000","3,450,200,000","3,317,500,000","3,184,800,000","3,317,500,000","2,520,000,000","2,923,200,000","3,190,000,000","3,166,800,000","microcontrollers, MEMS sensors, silicon carbide/GaN power semiconductors, AI chip design",High
Infineon Technologies AG (IFX),Tech,1999,57000,$2385M,$2000M,5.00%,2%,"118,560,000","4,964,211,775","4,864,927,539","4,767,628,989","4,672,276,409","4,578,830,881","4,487,254,263","4,397,509,178","4,309,558,994","4,223,367,814","4,138,900,458","4,056,122,449","3,975,000,000","power semiconductors, automotive microcontrollers, IoT security chips, SiC/GaN power devices",High
Renesas Electronics Corp (6723.T),Tech,2010,21629,$1764M,$300M,-1.00%,2%,"44,988,320","2,462,756,382","2,438,128,818","2,413,747,530","2,389,610,055","2,365,713,954","2,342,056,815","2,318,636,247","2,295,449,884","2,272,495,385","2,249,770,432","2,227,272,727","2,205,000,000","automotive microcontrollers, R-Car SoC, embedded AI edge processing, Altium PCB design tools",High
Allegro MicroSystems Inc (ALGM),Tech,1990,4250,$134M,$80M,-1.00%,3%,"8,840,000","222,500,000","222,500,000","222,500,000","222,500,000","222,500,000","222,500,000","222,500,000","222,500,000","222,500,000","222,500,000","222,500,000","222,500,000","Hall-effect magnetic sensors, current sensor ICs, motor driver/power management chips",Medium
Power Integrations Inc (POWI),Tech,1988,865,$102M,$15M,20.00%,2%,"1,799,200","104,466,430","108,911,810","115,579,880","115,579,880","98,458,655","102,648,385","108,932,980","108,932,980","105,500,000","108,780,000","115,440,000","115,440,000","PowiGaN gallium-nitride power ICs, InnoSwitch, high-voltage gate drivers for EV/data centers",Medium
CDW Corporation (CDW),Tech,1984,15100,$673M,$80M,4.80%,40%,"31,408,000","5,023,894,437","5,074,133,381","5,124,874,715","5,176,123,462","5,227,884,697","5,280,163,544","5,332,965,179","5,386,294,831","5,440,157,779","5,494,559,357","5,549,504,950","5,605,000,000","IT hardware/software distribution and reselling platforms, cloud/managed services orchestration",Low
Insight Enterprises Inc (NSIT),Tech,1988,14505,$247M,$40M,2.80%,35%,"30,170,400","2,222,793,478","2,317,380,435","2,411,967,391","2,506,554,348","2,044,970,000","2,131,990,000","2,219,010,000","2,306,030,000","1,938,045,000","2,020,515,000","2,102,985,000","2,185,455,000","IT hardware/software distribution, cloud/data center transformation, AI/data analytics consulting",Medium
Avnet Inc (AVT),Tech,1921,14869,$440M,$100M,1.00%,25%,"30,927,520","6,899,589,060","6,634,220,250","6,368,851,440","6,634,220,250","6,176,853,540","5,939,282,250","5,701,710,960","5,939,282,250","5,720,000,000","5,500,000,000","5,280,000,000","5,500,000,000","electronic component distribution platforms, supply chain digital tools, AI investment in demand forecasting",Low
Arrow Electronics Inc (ARW),Tech,1935,22230,$617M,$80M,1.90%,25%,"46,238,400","8,111,950,000","8,277,500,000","8,443,050,000","8,277,500,000","6,841,135,000","6,980,750,000","7,120,365,000","6,980,750,000","7,558,960,500","7,713,225,000","7,867,489,500","7,713,225,000","electronic components/enterprise computing distribution, edge AI SoC supply chain platforms",Low
TD SYNNEX Corporation (SNX),Tech,2021,30000,$900M,$150M,1.20%,30%,"62,400,000","12,063,945,586","12,305,224,498","12,551,328,988","12,802,355,568","13,058,402,679","13,319,570,733","13,585,962,147","13,857,681,390","14,134,835,018","14,417,531,719","14,705,882,353","15,000,000,000","IT product/AI infrastructure distribution platforms, supply chain digital tools",Low
Jabil Inc (JBL),Tech,1966,140000,$981M,$900M,4.50%,5%,"291,200,000","6,574,850,345","6,706,347,351","6,840,474,299","6,977,283,784","7,116,829,460","7,259,166,049","7,404,349,370","7,552,436,358","7,703,485,085","7,857,554,787","8,014,705,882","8,175,000,000","AI/cloud data center server manufacturing, additive manufacturing, automated SMT assembly",Medium
Celestica Inc (CLS),Tech,1996,26000,$242M,$150M,6.00%,2%,"54,080,000","1,769,128,167","1,929,958,000","2,090,787,833","2,251,617,667","2,208,900,000","2,391,900,000","2,499,500,000","2,549,490,000","2,648,600,000","2,893,400,000","3,194,000,000","3,353,700,000","AI/cloud data center manufacturing, advanced electronics manufacturing services (EMS)",Medium
Flex Ltd (FLEX),Tech,1969,150000,$516M,$500M,3.20%,3%,"312,000,000","7,800,000,000","7,500,000,000","7,200,000,000","7,500,000,000","6,864,000,000","6,600,000,000","6,336,000,000","6,600,000,000","6,208,000,000","6,596,000,000","6,596,000,000","6,400,000,000","Cloud and Power Infrastructure (CPI) segment for AI/data centers, advanced manufacturing automation",Medium
Pagaya Technologies Ltd (PGY),FinTech,2016,380,$103M,$10M,-5.00%,100%,"790,400","170,019,080","185,475,360","200,931,640","216,387,920","230,207,040","249,390,960","249,283,000","275,669,000","282,196,460","318,221,540","339,887,000","347,784,041","AI credit underwriting models, network of lending partners, asset-backed securitization platform",High
Green Dot Corp (GDOT),FinTech,1999,1546,$201M,$30M,3.00%,90%,"3,215,680","345,000,000","360,000,000","382,500,000","412,500,000","395,600,000","412,800,000","438,600,000","473,000,000","462,300,000","482,400,000","512,550,000","552,750,000","GoBank mobile banking platform, BaaS (banking-as-a-service) infrastructure, prepaid card processing",High
Telos Corp (TLS),Cybersecurity,1968,450,$18M,$5M,-15.00%,10%,"936,000","29,250,000","29,250,000","29,250,000","29,250,000","29,250,000","29,250,000","29,250,000","29,250,000","29,250,000","29,250,000","29,250,000","29,250,000","Xacta cybersecurity compliance platform, identity/cloud security solutions, TSA PreCheck enrollment",Medium
"Darktrace Holdings Ltd (Private, fka LSE:DARK)",Cybersecurity,2013,2300,$260M,$20M,5.00%,95%,"4,784,000","260,000,000","260,000,000","260,000,000","260,000,000","260,000,000","260,000,000","260,000,000","260,000,000","260,000,000","260,000,000","260,000,000","260,000,000","ActiveAI Security Platform, self-learning AI/ML threat detection, autonomous response (Antigena)",High
Clearway Energy Inc (CWEN),Clean Tech,2012,1000,$45M,$200M,2.00%,0%,"2,080,000","299,587,982","305,579,742","311,691,337","317,925,163","324,283,667","330,769,340","337,384,727","344,132,421","351,015,070","358,035,371","365,196,078","372,500,000","renewable asset SCADA monitoring, battery storage management systems",Low
Coherent Corp (COHR),Tech,1971,30000,$858M,$600M,8.00%,2%,"62,400,000","1,191,995,106","1,227,754,960","1,264,587,608","1,302,525,237","1,341,600,994","1,381,849,024","1,423,304,494","1,466,003,629","1,509,983,738","1,555,283,250","1,601,941,748","1,650,000,000","photonics/laser manufacturing, optical transceivers for AI datacenters, compound semiconductor fabrication",High
MKS Inc (fka MKS Instruments) (MKSI),Tech,1961,10300,$393M,$100M,10.00%,3%,"21,424,000","833,060,000","887,390,000","923,610,000","977,940,000","851,000,000","906,500,000","943,500,000","999,000,000","903,900,000","962,850,000","1,002,150,000","1,030,000,000","semiconductor process control instruments, Baratron pressure sensors, photonics/laser subsystems",Medium
Entegris Inc (ENTG),Tech,1966,7700,$329M,$300M,12.00%,3%,"16,016,000","643,410,431","656,278,640","669,404,213","682,792,297","696,448,143","710,377,106","724,584,648","739,076,341","753,857,868","768,935,025","784,313,725","800,000,000","CMP slurries/pads, chemical vapor deposition materials, contamination control/filtration for semiconductor fabs",Medium
Ciena Corporation (CIEN),Tech,1992,9080,$768M,$80M,6.00%,5%,"18,886,400","965,115,647","984,417,960","1,004,106,319","1,024,188,445","1,044,672,214","1,065,565,659","1,086,876,972","1,108,614,511","1,130,786,801","1,153,402,537","1,176,470,588","1,200,000,000","WaveLogic optical coherent technology, Blue Planet automation software, AI-driven network analytics",High
NCR Voyix Corp (VYX),Tech,1884,13500,$261M,$60M,0.50%,40%,"28,080,000","705,000,000","735,000,000","765,000,000","795,000,000","696,960,000","722,000,000","740,520,000","740,520,000","603,260,000","666,000,000","661,640,000","681,100,000","Voyix Commerce Platform, self-checkout/POS terminals, digital banking solutions",Medium
CommScope Holding Company Inc (COMM),Tech,1976,20000,$336M,$120M,-2.00%,10%,"41,600,000","1,051,450,000","1,051,450,000","1,051,450,000","1,051,450,000","1,051,450,000","1,051,450,000","1,051,450,000","1,051,450,000","1,051,450,000","1,051,450,000","1,051,450,000","1,051,450,000","RUCKUS Wi-Fi 7 AI-driven networking, fiber-optic infrastructure, broadband/cable network equipment",Medium
Diebold Nixdorf Inc (DBD),Tech,1859,23000,$170M,$60M,2.00%,10%,"47,840,000","782,882,686","816,196,843","849,511,000","882,825,157","782,882,686","816,196,843","849,511,000","882,825,157","841,100,000","843,791,520","869,360,960","843,791,520","ATM/self-service transaction systems, DN Vynamic Retail Platform, AI predictive diagnostics (Allconnect)",Medium
Unisys Corporation (UIS),Tech,1986,15000,$156M,$30M,-3.00%,15%,"31,200,000","492,450,000","502,500,000","502,500,000","512,550,000","490,000,000","500,000,000","500,000,000","510,000,000","440,160,000","467,670,000","467,670,000","574,500,000","Digital Workplace Solutions, Cloud/Applications/Infrastructure Solutions, AI-enabled service desk",Medium
Itron Inc (ITRI),Clean Tech,1977,5788,$237M,$40M,9.50%,5%,"12,039,040","521,671,920","532,540,085","554,276,415","565,144,580","585,800,880","598,005,065","622,413,435","634,617,620","568,126,560","579,962,530","603,634,470","615,470,440","smart electricity/gas/water meters, advanced metering infrastructure (AMI), UtilityIQ analytics platform",Medium
Badger Meter Inc (BMI),Clean Tech,1905,2477,$72M,$30M,14.00%,5%,"5,152,160","145,668,524","151,495,265","157,555,075","163,857,278","170,411,570","177,228,032","184,317,154","191,689,840","199,357,433","207,331,731","215,625,000","224,250,000","BEACON Advanced Metering Analytics, IoT cellular/fixed-network water meters, smart water management",Medium
Roper Technologies Inc (ROP),Enterprise Tech,1981,19400,$948M,$60M,20.00%,75%,"40,352,000","1,451,783,000","1,513,561,000","1,575,339,000","1,637,117,000","1,654,212,000","1,724,604,000","1,794,996,000","1,865,388,000","1,857,087,500","1,936,112,500","2,015,137,500","2,094,162,500","vertical software portfolio (Deltek, Vertafore, DAT Solutions), AI-first operating models, niche market SaaS",High
Manhattan Associates Inc (MANH),Enterprise Tech,1990,4390,$173M,$10M,20.00%,85%,"9,131,200","218,250,375","227,537,625","236,824,875","246,112,125","244,952,720","255,376,240","265,799,760","276,223,280","254,127,120","264,941,040","275,754,960","286,568,880","Manhattan Active supply chain/omnichannel cloud platform, warehouse management, AI-driven inventory optimization",High
PTC Inc (PTC),Enterprise Tech,1985,7642,$548M,$20M,15.00%,70%,"15,895,360","494,714,090","509,555,513","524,842,178","540,587,444","556,805,067","573,509,219","590,714,496","608,435,930","626,689,008","645,489,679","664,854,369","684,800,000","Creo 3D CAD with AI guidance, Windchill PLM, ThingWorx IIoT platform, ServiceMax field service",High
Tyler Technologies Inc (TYL),Enterprise Tech,1966,7271,$230M,$30M,3.00%,90%,"15,123,680","459,143,614","478,681,640","498,219,666","517,757,692","502,900,000","524,300,000","545,700,000","567,100,000","534,688,000","586,432,000","603,680,000","575,200,000","cloud-based public sector SaaS (appraisal/tax, courts, ERP, public safety), AI-driven citizen services",High
"Aspen Technology Inc (Private, fka NASDAQ:AZPN)",Enterprise Tech,1981,4067,$240M,$10M,15.00%,60%,"8,459,360","194,874,279","202,669,251","210,776,021","219,207,062","227,975,344","237,094,358","246,578,132","256,441,257","266,698,908","277,366,864","288,461,538","300,000,000","aspenONE Engineering/Manufacturing/Asset Performance Management platforms, AI-driven process optimization",High
Veeva Systems Inc (VEEV),Enterprise Tech,2007,7928,$549M,$30M,22.00%,100%,"16,490,240","496,122,812","511,006,496","526,336,691","542,126,792","558,390,595","575,142,313","592,396,583","610,168,480","628,473,535","647,327,741","666,747,573","686,750,000","Vault Platform (clinical/regulatory/quality/commercial), CRM Suite, AI Falcon agentic platform",High
nCino Inc (NCNO),FinTech,2012,1600,$134M,$10M,1.00%,100%,"3,328,000","110,169,245","113,474,322","116,878,552","120,384,908","123,996,455","127,716,349","131,547,840","135,494,275","139,559,103","143,745,876","148,058,252","152,500,000","nCino Platform (cloud banking OS), AI-driven loan origination, deposit account opening, CRA/analytics",High
Cognizant Technology Solutions (CTSH),Tech,1994,335000,$788M,$300M,10.00%,20%,"696,800,000","3,557,924,787","3,664,662,531","3,774,602,407","3,887,840,479","4,004,475,693","4,124,609,964","4,248,348,263","4,375,798,711","4,507,072,672","4,642,284,852","4,781,553,398","4,925,000,000","AI-first technology services, digital transformation, cloud migration, AI Hub",High
Infosys Ltd (INFY),Tech,1981,315000,$772M,$400M,17.50%,15%,"655,200,000","3,485,682,660","3,590,253,139","3,697,960,734","3,808,899,556","3,923,166,542","4,040,861,538","4,162,087,385","4,286,950,006","4,415,558,506","4,548,025,262","4,684,466,019","4,825,000,000","Cobalt cloud platform, AI-First strategy, Topaz AI suite, digital transformation services",High
DXC Technology Company (DXC),Tech,2017,100000,$516M,$200M,2.00%,25%,"208,000,000","2,329,808,617","2,399,702,876","2,471,693,962","2,545,844,781","2,622,220,124","2,700,886,728","2,781,913,330","2,865,370,730","2,951,331,851","3,039,871,807","3,131,067,961","3,225,000,000","cloud and security services, analytics/AI platforms, enterprise IT modernization",Medium
Globant SA (GLOB),Tech,2003,27000,$214M,$30M,8.00%,20%,"56,160,000","484,022,255","498,542,923","513,499,211","528,904,187","544,771,313","561,114,452","577,947,886","595,286,322","613,144,912","631,539,259","650,485,437","670,000,000","AI/digital transformation consulting, StarMeUp culture platform, GlobantX talent platform",High
Zuora Inc (ZUO),Enterprise Tech,2007,2000,$102M,$8M,3.00%,100%,"4,160,000","83,981,473","86,500,918","89,095,945","91,768,823","94,521,888","97,357,545","100,278,271","103,286,619","106,385,218","109,576,774","112,864,078","116,250,000","subscription management platform, RevPro revenue recognition, Zephr paywall platform",High
NetScout Systems Inc (NTCT),Cybersecurity,1984,2300,$157M,$15M,5.00%,20%,"4,784,000","157,126,628","161,840,426","166,695,639","171,696,508","176,847,404","182,152,826","187,617,411","193,245,933","199,043,311","205,014,610","211,165,049","217,500,000","nGeniusONE network management, Arbor DDoS/threat intelligence, AI-driven Adaptive Service Intelligence (ASI)",Medium
